2019-05-13 12:52:37,037 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:37,038 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:37,038 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:37,070 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:37,071 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:37,071 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:37,120 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:37,120 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:37,121 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:37,122 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:38,098 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,099 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:38,111 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,111 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,111 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:38,128 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:38,137 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,138 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,139 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:38,156 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,156 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,156 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:38,177 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:38,394 | DEBUG | ty.propertyfile) | security-propertyfile            | 52 - pnnl.goss.core.security-propertyfile - 2.0.8.201905131948 | ServiceEvent REGISTERED - [pnnl.goss.core.security.GossRealm] - pnnl.goss.core.security-propertyfile
2019-05-13 12:52:38,906 | DEBUG | 20.104.75:64634] | tcp                              |  -  -  | RMI RenewClean-[130.20.104.75:64634]: close connection
2019-05-13 12:52:38,909 | DEBUG | 2)-130.20.104.75 | tcp                              |  -  -  | RMI TCP Connection(2)-130.20.104.75: (port 64634) connection closed
2019-05-13 12:52:38,909 | DEBUG | 2)-130.20.104.75 | tcp                              |  -  -  | RMI TCP Connection(2)-130.20.104.75: close connection
2019-05-13 12:52:38,909 | DEBUG | 20.104.75:64634] | ref                              |  -  -  | RMI RenewClean-[130.20.104.75:64634]: get connection
